#Kristallwinkel	Rate bei 35kV
#theta/°	R(35kV)/Imp/s

4,0	14,0
4,1	18,0
4,2	23,0
4,3	23,0
4,4	19,0
4,5	19,0
4,6	18,0
4,7	21,0
4,8	22,0
4,9	22,0
5,0	23,0
5,1	25,0
5,2	29,0
5,3	34,0
5,4	30,0
5,5	33,0
5,6	42,0
5,7	42,0
5,8	42,0
5,9	43,0
6,0	49,0
6,1	46,0
6,2	57,0
6,3	57,0
6,4	59,0
6,5	60,0
6,6	68,0
6,7	68,0
6,8	69,0
6,9	74,0
7,0	76,0
7,1	78,0
7,2	86,0
7,3	82,0
7,4	84,0
7,5	88,0
7,6	90,0
7,7	97,0
7,8	96,0
7,9	102,0
8,0	111,0
8,1	104,0
8,2	111,0
8,3	114,0
8,4	114,0
8,5	107,0
8,6	126,0
8,7	130,0
8,8	127,0
8,9	125,0
9,0	134,0
9,1	133,0
9,2	141,0
9,3	140,0
9,4	136,0
9,5	133,0
9,6	136,0
9,7	140,0
9,8	136,0
9,9	137,0
10,0	158,0
10,1	140,0
10,2	150,0
10,3	146,0
10,4	155,0
10,5	155,0
10,6	160,0
10,7	163,0
10,8	158,0
10,9	164,0
11,0	153,0
11,1	156,0
11,2	164,0
11,3	166,0
11,4	169,0
11,5	164,0
11,6	161,0
11,7	169,0
11,8	165,0
11,9	166,0
12,0	172,0
12,1	153,0
12,2	170,0
12,3	166,0
12,4	170,0
12,5	167,0
12,6	180,0
12,7	178,0
12,8	165,0
12,9	177,0
13,0	156,0
13,1	147,0
13,2	147,0
13,3	138,0
13,4	145,0
13,5	139,0
13,6	127,0
13,7	142,0
13,8	137,0
13,9	132,0
14,0	129,0
14,1	134,0
14,2	131,0
14,3	138,0
14,4	121,0
14,5	129,0
14,6	122,0
14,7	120,0
14,8	125,0
14,9	125,0
15,0	126,0
15,1	119,0
15,2	116,0
15,3	130,0
15,4	124,0
15,5	119,0
15,6	114,0
15,7	111,0
15,8	110,0
15,9	112,0
16,0	107,0
16,1	111,0
16,2	112,0
16,3	106,0
16,4	102,0
16,5	105,0
16,6	109,0
16,7	106,0
16,8	103,0
16,9	98,0
17,0	99,0
17,1	99,0
17,2	102,0
17,3	103,0
17,4	99,0
17,5	94,0
17,6	84,0
17,7	94,0
17,8	100,0
17,9	94,0
18,0	91,0
18,1	91,0
18,2	89,0
18,3	85,0
18,4	87,0
18,5	87,0
18,6	86,0
18,7	86,0
18,8	82,0
18,9	76,0
19,0	84,0
19,1	89,0
19,2	81,0
19,3	84,0
19,4	88,0
19,5	96,0
19,6	105,0
19,7	152,0
19,8	366,0
19,9	1020,0
20,0	1080,0
20,1	883,0
20,2	484,0
20,3	231,0
20,4	135,0
20,5	118,0
20,6	117,0
20,7	106,0
20,8	100,0
20,9	96,0
21,0	90,0
21,1	89,0
21,2	103,0
21,3	101,0
21,4	86,0
21,5	98,0
21,6	104,0
21,7	112,0
21,8	129,0
21,9	202,0
22,0	626,0
22,1	2640,0
22,2	3858,0
22,3	3815,0
22,4	2579,0
22,5	1019,0
22,6	243,0
22,7	146,0
22,8	114,0
22,9	97,0
23,0	84,0
23,1	73,0
23,2	74,0
23,3	72,0
23,4	71,0
23,5	72,0
23,6	70,0
23,7	67,0
23,8	62,0
23,9	62,0
24,0	52,0
24,1	60,0
24,2	56,0
24,3	59,0
24,4	50,0
24,5	52,0
24,6	55,0
24,7	58,0
24,8	54,0
24,9	47,0
25,0	48,0
25,1	46,0
25,2	49,0
25,3	48,0
25,4	43,0
25,5	44,0
25,6	42,0
25,7	44,0
25,8	38,0
25,9	38,0
26,0	39,0
