#Kristallwinkel	Rate bei 35kV mit Wi
#theta/°	R(35kV)/Imp/s

10,0	40,0
10,1	41,0
10,2	42,0
10,3	43,0
10,4	43,0
10,5	42,0
10,6	47,0
10,7	49,0
10,8	51,0
10,9	49,0
11,0	50,0
11,1	56,0
11,2	61,0
11,3	61,0
11,4	61,0
11,5	60,0
11,6	59,0
11,7	59,0
11,8	55,0
11,9	56,0
12,0	57,0
12,1	60,0
12,2	54,0
12,3	51,0
12,4	52,0
12,5	48,0
12,6	48,0
12,7	46,0
12,8	46,0
12,9	51,0
13,0	54,0
13,1	61,0
13,2	66,0
13,3	67,0
13,4	65,0
13,5	65,0
13,6	60,0
13,7	64,0
13,8	63,0
13,9	59,0
14,0	59,0
14,1	56,0
14,2	55,0
14,3	59,0
14,4	53,0
14,5	54,0
